Array length,Merge Sort, Quick Sort
1,5.33E-7,3.93E-7
10,1.047E-6,5.55E-7
100,5.1E-6,3.088E-6
1000,4.6132E-5,5.0296E-5
10000,4.47232E-4,0.003117819
100000,0.004631695,0.293446112
1000000,0.051068219,29.174273256
10000000,0.557479838,null
