Array length,Merge Sort, Quick Sort
1,1.167E-6,1.627E-6
10,5.496E-6,4.977E-6
100,4.4722E-5,4.0733E-5
1000,3.48683E-4,3.44018E-4
10000,0.001790829,0.001209364
100000,0.015769605,0.005312932
1000000,0.104924946,0.062518423
10000000,1.084117435,0.701916419
