Array length,Merge Sort, Quick Sort
1,4.09E-7,3.3E-7
10,9.75E-7,6.81E-7
100,3.674E-6,3.666E-6
1000,2.4083E-5,8.8511E-5
10000,2.78761E-4,4.58558E-4
100000,0.003150669,0.006677026
1000000,0.035613799,0.194239218
10000000,0.414681731,1.33730688
