Array length,Heap Sort,Selection Sort
1,8.02E-7,2.002E-6
10,7.228E-6,3.352E-6
100,9.3526E-5,7.324E-5
1000,1.46492E-4,0.001121787
10000,0.00112254,0.019769628
100000,0.009656125,1.685702017
1000000,0.111598311,163.824992994
10000000,1.743328392,null
