Array length,Heap Sort,Selection Sort
1,4.53E-7,1.7253E-5
10,8.28E-7,4.31E-7
100,5.101E-6,5.515E-6
1000,4.7367E-5,1.73942E-4
10000,4.95495E-4,0.014932587
100000,0.00549816,1.548833299
1000000,0.060316841,154.571571245
10000000,0.666409943,null
