Array length,Heap Sort,Selection Sort
1,2.47E-7,4.67E-7
10,8.92E-7,5.17E-7
100,5.987E-6,5.531E-6
1000,7.6059E-5,3.12514E-4
10000,9.36857E-4,0.028682725
100000,0.014287323,2.860253336
1000000,0.2865482,370.441899102
10000000,3.70619988,null
