"Repetitions","Text length","Duration","Success"
1e+03,22,4.508350e-07,true
1e+03,86,8.204130e-07,true
1e+04,22,1.728354e-07,true
1e+04,86,2.790170e-07,true
1e+05,22,3.499465e-08,true
1e+05,86,2.082481e-07,true
1e+06,22,2.626684e-08,true
1e+06,86,2.031493e-07,true
1e+07,22,2.221325e-08,true
1e+07,86,1.989060e-07,true
1e+08,22,2.135266e-08,true
1e+08,86,1.993182e-07,true
