"Repetitions","Text length","Duration","Success"
1e+03,27,1.155501e-03,true
1e+03,91,1.517021e-03,true
1e+04,27,2.464529e-03,true
1e+04,91,2.977079e-03,true
1e+05,27,8.511350e-03,true
1e+05,91,2.919839e-02,true
1e+06,27,7.274286e-02,true
1e+06,91,2.844768e-01,true
1e+07,27,6.392283e-01,true
1e+07,91,2.501345e+00,true
1e+08,27,6.459952e+00,true
1e+08,91,2.513484e+01,true
