Array length,Bucket Sort,Counting Sort,Radix Sort
1,1.63224E-4,8.962E-6,5.484E-6
10,4.256E-6,2.2645E-5,4.953E-6
100,2.0354E-5,3.3167E-5,2.6338E-5
1000,1.30021E-4,9.7689E-5,1.73072E-4
10000,8.91845E-4,5.19989E-4,0.001830297
100000,0.004605794,0.001907781,0.003231181
1000000,0.05941507,0.007274853,0.024986688
10000000,0.303083947,0.061382632,0.244316002
100000000,2.742414595,0.579275972,2.475759067
