Array length,Bucket Sort,Counting Sort,Radix Sort
1,5.88E-7,6.75E-7,9.33E-7
10,4.94E-7,5.57E-7,7.72E-7
100,1.291E-6,7.52E-7,3.137E-6
1000,6.99E-6,3.639E-6,3.1495E-5
10000,4.9981E-5,2.9853E-5,3.87045E-4
100000,6.30215E-4,2.97467E-4,0.004722462
1000000,0.01239429,0.007356701,0.069475571
10000000,0.086373899,0.071085604,0.734715104
100000000,1.351191102,0.701637018,7.826980594
