Array length,Bucket Sort,Counting Sort,Radix Sort
1,6.51E-7,4.583E-6,3.14E-7
10,4.98E-7,5.72E-7,8.83E-7
100,1.285E-6,8.19E-7,2.084E-6
1000,6.956E-6,3.766E-6,2.3675E-5
10000,4.9304E-5,3.0174E-5,3.03345E-4
100000,5.73793E-4,2.73788E-4,0.003875129
1000000,0.010150791,0.0106795,0.047639774
10000000,0.119905178,0.115477889,0.575723092
100000000,1.71540753,0.591103004,6.514738383
