Array length,Bubble,Insertion,Insert Shift,Insert Binary,Shell,Shell Knuth,Shell Sedgewick
1,6.59E-7,1.326E-6,4.27E-6,6.34E-7,7.75E-7,1.14386E-4,1.0027E-5
10,4.158E-6,4.108E-6,1.4E-6,3.727E-6,2.75E-6,7.099E-6,4.917E-6
100,1.64807E-4,6.8493E-5,5.1344E-5,1.36007E-4,3.1507E-5,3.2965E-5,2.7536E-5
1000,0.003045403,0.002057122,0.002038508,0.002620358,5.4884E-4,5.27348E-4,5.19964E-4
10000,0.068133199,0.017195682,0.011529874,0.033299761,0.002718971,0.001941083,0.001187097
100000,8.54727276,0.549808145,0.496187583,2.776470075,0.011131908,0.009753959,0.009349514
1000000,null,null,50.635045631,null,0.152651115,0.137963592,0.11836712
10000000,null,null,null,null,2.26356911,2.034990227,1.453801858
