Array length,Bubble,Insertion,Insert Shift,Insert Binary,Shell,Shell Knuth,Shell Sedgewick
1,3.83E-7,6.92E-7,2.28E-7,1.86E-7,1.89E-7,1.286E-6,8.98E-7
10,3.3E-7,6.19E-7,2.76E-7,3.72E-7,2.79E-7,1.275E-6,1.846E-6
100,2.926E-6,3.35E-6,2.565E-6,6.064E-6,1.222E-6,2.274E-6,3.32E-6
1000,2.31633E-4,1.28131E-4,1.07358E-4,5.96442E-4,1.236E-5,1.1906E-5,1.4384E-5
10000,0.022219013,0.011235225,0.009990128,0.059370421,1.62209E-4,1.13983E-4,1.84353E-4
100000,2.267824798,1.101922026,1.031948451,5.561164236,0.002028416,0.00140355,0.00171631
1000000,null,null,102.022973826,null,0.022808901,0.014765751,0.020377949
10000000,null,null,null,null,0.274708881,0.182348771,0.241787383
