Array length,Bubble,Insertion,Insert Shift,Insert Binary,Shell,Shell Knuth,Shell Sedgewick
1,3.74E-7,3.82E-7,2.32E-7,2.11E-7,2.46E-7,2.566E-6,1.656E-6
10,4.14E-7,5.85E-7,3.06E-7,3.01E-7,2.77E-7,2.249E-6,3.395E-6
100,9.061E-6,4.472E-6,1.598E-6,4.335E-6,2.316E-6,4.206E-6,6.38E-6
1000,3.99587E-4,8.8827E-5,5.1625E-5,2.66169E-4,2.6321E-5,2.8049E-5,2.9258E-5
10000,0.054632982,0.005169589,0.004402648,0.027789334,3.16327E-4,2.75642E-4,2.67955E-4
100000,8.381747329,0.491513926,0.443332201,2.475455712,0.003605316,0.00293225,0.002870704
1000000,null,null,45.316247948,null,0.041408657,0.03138304,0.031202453
10000000,null,null,null,null,0.46907884,0.337638512,0.346003695
