Numbers,ArrayList,SingleArray,VectorArray,FactorArray,MatrixArray
100.0,5.7009E-5,8.7971E-5,6.3997E-5,5.6892E-5,9.5323E-5
1000.0,2.12865E-4,6.23701E-4,2.1752E-4,1.72938E-4,2.87553E-4
10000.0,0.001077368,0.046694471,0.005682326,6.28688E-4,9.70411E-4
100000.0,0.004069764,1.790711489,0.143909185,0.004186481,0.014943069
1000000.0,0.014450716,440.054583597,74.306146779,0.027639096,1.76153425
