Numbers,WrapperOverArrayList,SingleArray,VectorArray,FactorArray,MatrixArray
100.0,3.103E-5,1.54401E-4,1.56433E-4,1.56215E-4,3.19424E-4
1000.0,2.72094E-4,0.002264815,0.002413536,0.002331782,0.005180121
10000.0,0.002391052,0.082802827,0.085356091,0.084812723,0.203319272
100000.0,0.249577595,8.285332208,8.339366398,8.277407073,20.941060071
